"Description","Platform","Date of Impact","Macro","Meso","Micro","Media","Story","Story Link","Publications","Story Partner","Topic","Subtopic","Grant","Tags","Submitter","Author","Attachments","Additional notes","Edit","ID"
"Marines had swapped nude photos of female soldiers since last May","","03/09/2017","","","","","","","

  Singapore News","","","","","","","","","Last Saturday, the California-based Center for Investigative Reporting revealed that a Facebook group, Marines United, had been distributing","edit","66286"
"Top U.S. Marine slams alleged nude photo-sharing, says undermines values","","03/10/2017","","","","","","","

  NewsDog","","","","","","","","","was first reported on Saturday by the California-based Center for Investigative Reporting through its radio-podcast Reveal. The Naval","edit","66291"
"Nude-Photo Scandal May Expand Beyond 'Marines United' Facebook Group","","03/10/2017","","","","","","","

  News 88.9 KNPR","","","","","","","","","runs the War Horse news site, published his story on the Center for Investigative Reporting's site Reveal last weekend. Almost immediately,","edit","66296"
"Prosecuting Marines over nude photo scandal could be difficult","","03/10/2017","","","","","","","

  Military Times","","","","","","","","","War Horse, which first published accounts of the site with the Center for Investigative Reporting last weekend, at least some of the cases","edit","66301"
"Nude-Photo Scandal May Expand Beyond 'Marines United' Facebook Group","","03/10/2017","","","","","","","

  KBIA","","","","","","","","","runs the War Horse news site, published his story on the Center for Investigative Reporting's site Reveal last weekend. Almost immediately,","edit","66306"
"Trump’s Immigration Crackdown Would Burn Billions Of Dollars DHS Doesn’t Have","","03/10/2017","","","","","","","

  Long Beach City College Viking","","","","","","","","","process, worries some. A 2013 story by the Center for Investigative Reporting found that several applicants who’d passed every element of","edit","66311"
"Extension of veterans healthcare program urged despite poor track record","","03/10/2017","","","","","","","

  Blog - Reveal","","","","","","","","","focus of an investigation last year by Reveal from The Center for Investigative Reporting, which found that access to private care worsened","edit","66316"
"Bids to design Trump’s wall will have to wait, again","","03/10/2017","","","","","","","

  Blog - Reveal","","","","","","","","",", McCaskill spokesman Drew Pusateri said.

Andrew Becker can be reached at abecker@revealnews.org. Follow him on Twitter: @ABeckerReveal","edit","66321"
"Marines Facebook group STILL sharing nude photos of women","","03/10/2017","","","","","","","

  Junior College","","","","","","","","","","edit","66326"
"Marines will probe nude-photo scandal; Mattis to discuss issue with all services","","03/10/2017","","","","","","","

  Stars and Stripes","","","","","","","","","scandal was uncovered last weekend in a report by the Center for Investigative Reporting with the War Horse, a nonprofit military news","edit","66331"
"U.S. Marines Are Reportedly Still Sharing Nude Photos","","03/10/2017","","","","","","","

  thecut","","","","","","","","","","edit","66336"
"Prosecuting Marines over nude photo scandal could be difficult","","03/10/2017","","","","","","","

  NewsDog","","","","","","","","","War Horse, which first published accounts of the site with the Center for Investigative Reporting last weekend, at least some of the cases","edit","66341"
"All branches of US military reportedly involved in nude-photo sharing","","03/10/2017","","","","","","","

  True Viral News","","","","","","","","","page “Marines United,” according to a report from the Center for Investigative Reporting.

The report said that more than two dozen active-","edit","66346"
"All branches of the US Military are now investigating nude photo sharing on social media","","03/11/2017","","","","","","","

  NewsDog","","","","","","","","",", Marine veteran Thomas Brennan published a report through The Center for Investigative Reporting that revealed the existence of a secret","edit","66351"
"Quân đội Mỹ “nóng” vì ảnh khỏa thân","","03/11/2017","","","","","","","

  Tin247.com","","","","","","","","","ảnh nóng Ảnh: AP

Thách thức mới từ công nghệ

Trước mắt, theo trang Revealnews.org, Cục Điều tra hình sự Hải quân Mỹ (NCIS) đưa hàng trăm","edit","66356"
"A reporter becomes a smuggler","","03/11/2017","","","","","","","

  Reveal","","","","","","","","",": Raphaël Krafft for Reveal

Laura Starecheski can be reached at lstarecheski@revealnews.org. Follow her on Twitter: @Starecheski.

Sign up","edit","66361"
"Nude photo sharing scandal: US Marine Corps issues video statement","","03/11/2017","","","","","","","

  Blasting News United States","","","","","","","","","condemned the act as unwarranted. Reports published by the Center for Investigative Reporting say that hundreds of Marines could come under","edit","66366"
"Facebook group spreading nude pics of female soldiers is under investigation","","03/10/2017","","","","","","","

  True Viral News","","","","","","","","","investigated for sharing photos of naked colleagues on The Center for Investigative Reporting

Read next: Crush your competition with","edit","66371"
"Dig Deep: Overthrowing Oversight","","03/11/2017","","","","","","","

  BillMoyers.com","","","","","","","","","Gollan covers worker safety and labor issues for The Center for Investigative Reporting. In this exploration of the private shipbuilding","edit","66376"
"美國建造軍艦為何工人死亡事件頻發？","","03/12/2017","","","","","","","

  阅读屋","","","","","","","","","原標題:美國建造軍艦為何工人死亡事件頻發？

圖片來源：Warisboring.com

2017年2月10日，調查性報道中心（Center for Investigative Reporting）釋出了一份令人不安的美國國防造船業的報道，記錄了美國海軍和海岸警衛隊與造船商之間價","edit","66381"
"美国建造军舰为何工人死亡事件频发？","","03/12/2017","","","","","","","

  其它-搜狐","","","","","","","","","2017年2月10日，调查性报道中心（Center for Investigative Reporting）发布了一份令人不安的美国国防造船业的报道，记录了美国海军和海岸警卫队与造船商之间价值数十亿美元的施工合同却只有松散的安全标准。

文章毫不避讳地表明该行业问责制的缺乏，以及","edit","66386"
"Nude-Photo Scandal May Expand Beyond 'Marines United' Facebook Group","","03/11/2017","","","","","","","

  South Carolina Public Radio","","","","","","","","","runs the War Horse news site, published his story on the Center for Investigative Reporting's site Reveal last weekend. Almost immediately,","edit","66391"
"Johnson brings back whistleblower protection bill as Sunshine Week opens","","03/13/2017","","","","","","","

  Townhall","","","","","","","","",".

The story published a few months after the Center for Investigative Reporting broke the news about the opioid prescription problem at","edit","66396"
"Nude-Photo Scandal May Expand Beyond 'Marines United' Facebook Group","","03/13/2017","","","","","","","

  GPBNews","","","","","","","","","runs the War Horse news site, published his story on the Center for Investigative Reporting's site Reveal last weekend. Almost immediately,","edit","66401"
"Vets group calls on first lady to condemn the Marine Corps nude photo scandal","","03/13/2017","","","","","","","

  NewsDog","","","","","","","","","which first published reports on the photo sharing with the Center for Investigative Reporting, at least some of the cases involved pictures","edit","66406"
"We managed tax transparency in Pakistan. Why not everywhere else?","","03/13/2017","","","","","","","

  Gulf News","","","","","","","","","English-language daily the News. He founded the Center for Investigative Reporting in Pakistan in 2012

Agreement Poll

Do you agree with","edit","66411"
"Vets group calls on first lady to condemn the Marine Corps nude photo scandal","","03/13/2017","","","","","","","

  True Viral News","","","","","","","","","which first published reports on the photo sharing with the Center for Investigative Reporting, at least some of the cases involved pictures","edit","66416"
"Veterans’ Group Asks First Lady To Weigh In On Marine Corps Nude Photo Debacle","","03/13/2017","","","","","","","

  The Libertarian Republic","","","","","","","","","site The War Horse first broke the news with the Center for Investigative Reporting that Marines part of the 30,000-strong Facebook group","edit","66421"
"Rule by Thieves: One Week in the Life of the American Kleptocracy","","03/13/2017","","","","","","","

  Before It's News","","","","","","","","","without their knowledge or consent, should be treated. As the Center for Investigative Reporting (CIR) revealed, “One member of the Facebook","edit","66426"
"10 Big Media Realities in the Trump Era","","03/13/2017","","","","","","","

  AlterNet","","","","","","","","","The Center for Investigative Reporting is a Berkeley-based operation that mostly serves California, and has a new website at RevealNews.org.","edit","66431"
"Tillis: No VA benefits for Marine veterans who advocated rape, harassment","","03/14/2017","","","","","","","

  Herald Online","","","","","","","","","His report on “Marines United” was published by the Center for Investigative Reporting and prompted swift responses across the military and","edit","66436"
"Marine Corps Commandant Urges More Female Victims to Come Forward","","03/14/2017","","","","","","","

  Steelers Lounge","","","","","","","","","","edit","66441"
"February Soapbox","","03/14/2017","","","","","","","

  Funkhaus","","","","","","","","","making the rounds of our office. Reveal, from the Center for Investigative Reporting, is investigative journalism at its finest, presented","edit","66446"
"What To Know About The Nude Marine Photo Scandal","","03/14/2017","","","","","","","

  International Business Times","","","","","","","","","Two non-profit news websites, the War Horse and the Center for Investigative Reporting, published their findings on March 4. They said the","edit","66451"
"Top Marine grilled by senators over nude photo scandal","","03/14/2017","","","","","","","

  NewsDog","","","","","","","","","United” that boasted it had 30,000 members.

The Center for Investigative Reporting, which first reported the investigation, found that","edit","66456"
"Marine commander vows to fix problem that led to nude photo sharing","","03/14/2017","","","","","","","

  Eastern Kentucky News - WYMT","","","","","","","","","on social media.

On its Reveal web site, the Center for Investigative Reporting, which first reported the investigation, found that since","edit","66461"
"Marine leaders promise to end online nude photo scandal","","03/14/2017","","","","","","","

  The Independent","","","","","","","","","group of more than 30,000 members. Last week, the Center for Investigative Reporting revealed that more than two dozen women on active duty","edit","66466"
"These Women Took A Drug To Slow Puberty — & Now They Say It Destroyed Their Health","","03/14/2017","","","","","","","

  Refinery29","","","","","","","","","to questions from Kaiser Health News and Reveal from The Center for Investigative Reporting.

The FDA is also reviewing deadly seizures","edit","66471"
"Angry Senators Grill Commandant Over Marine Photo Scandal","","03/14/2017","","","","","","","

  CBS Miami","","","","","","","","",", professionalism and respect amongst each other.

The Center for Investigative Reporting, which first reported the investigation, found","edit","66476"
"How the Military Can Really Crack Down on Sexual Harassment","","03/14/2017","","","","","","","

  Rolling Stone","","","","","","","","","when Thomas Brennan, a Marine veteran and journalist with the Center for Investigative Reporting, broke the story on March 4th of hundreds","edit","66481"
"Shipbuilding investigation published ","","03/14/2017","","Organization uses content","","","","","

  Politico
  (Print)
  (Text)
, 

  WJCT NEWS
  (Radio)
  (TV)
, 

  PRX
  (Radio)
, 

  WGNU
  (Radio)
","","shipbuilders, Working world","","","Shipbuilders","","","","","edit","66486"
"Shipbuilding investigation part II - Austal injuries","","02/17/2017","","Organization uses content","","Copycat story","","","

  AL.com
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","","edit","66491"
"Sen. Warren speaks out in response to shipbuilding investigation","","02/16/2017","","Public official refers to story","Individual takes action","Blog mentions content","","","

  Sen Warren's Facebook post about our article
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","","edit","66496"
"Former OSHA head calls on Navy to stop contracting with dangerous shipbuilders","","02/16/2017","","Public official refers to story","Individual takes action","","","","

  Reveal story about responses to article by Michaels and Sen. Warren","","","","","","","","","The former head of the Occupational Safety and Health Administration called on the U.S. Navy to stop doing business with dangerous shipbuilders following an investigation by Reveal from The Center for Investigative Reporting.","edit","66501"
"Three senators call on the Justice Dept. to launch criminal investigation, citing our shipbuilding investigation","","03/03/2017","Government investigation","Public official refers to story","Individual takes action","","","","

  Reveal
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","Three Democratic senators called today for a federal criminal investigation into a major shipbuilder that has reaped hundreds of millions of dollars building vessels for the U.S. Navy even as its workers have been killed and injured.

In a letter, Sens. Elizabeth Warren of Massachusetts, Bernie Sanders of Vermont and Patty Murray of Washington urged the Justice Department to launch an inquiry into VT Halter Marine Inc., citing a recent investigation by Reveal from The Center for Investigative Reporting that uncovered how the Navy and Coast Guard rewarded private shipbuilders with $100 billion in contracts despite serious workplace safety violations.","edit","66506"
"Sens. Elizabeth Warren and Al Franken cite our shipbuilding investigation on Senate floor","","03/06/2017","Hearing","Public official refers to story","Individual takes action","","","","

  Reveal
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","Democrats hammered on the safety record of one of the Navy’s top shipbuilders, the subject of a recent story by Reveal from The Center for Investigative Reporting on the Senate floor.

“With so much taxpayer money on the line, it really matters that contractors are using it responsibly,” Sen. Elizabeth Warren, D-Mass., told the Senate.

Warren cited a string of accidents involving VT Halter Marine Inc., a major Navy shipbuilder that was the focus of the Reveal investigation, as a stark example of why tax dollars should not go to dangerous companies.
Echoing Warren’s concerns, Sen. Al Franken, D-Minn., also touched on the accidents in the Reveal article.

“VT Halter is a major Navy shipbuilder,” Franken told the Senate. “But its safety track record is deeply concerning.”

Franken recounted how a month after the 2009 explosion, VT Halter received an $87 million contract from the Navy. It then settled with the Occupational Safety and Health Administration, admitting it had willfully broken 12 safety rules. Workers said fans and explosion-proof lights that would have prevented the blast were locked away to save money.

“It doesn’t make sense to keep rewarding companies like this with lucrative contracts when they repeatedly and … willfully disregard basic safety protections,” Franken said.

","edit","66511"
"Editorial refers to findings of our shipbuilding investigation","","03/07/2017","","Public official refers to content","Individual takes action","","","","

  The Hill
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","Debbie Berkowitz refers to our reporting in her editorial","edit","66516"
"The Atlantic includes our shipbuilding investigation in Best Business Reads","","03/01/2017","","Organization uses content","Increased trust as source of news & information","Mention / Citation","","","

  The Atlantic
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","","edit","66521"
"Project on Govt Oversight writes story on shipbuilding investigation","","02/14/2017","","Organization uses content","Increased awareness / knowledge","Blog mentions content","","","

  POGO
  (Print)
  (Text)
","","shipbuilders, Working world","","","Shipbuilders","","","","","edit","66526"
"Mike McGraw: Families touched by 1988 firefighters explosion deserve the facts","","03/14/2017","","","","","","","

  The Kansas City Star","","","","","","","","","when a KCPT editor suggested we join forces with the Center for Investigative Reporting in California, which had launched an effort called","edit","66531"
"Top Marine Grilled By Senators Over Nude Photo Scandal","","03/14/2017","","","","","","","

  Be Gossip","","","","","","","","","United” that boasted it had 30,000 members.

The Center for Investigative Reporting, which first reported the investigation, found that","edit","66536"
"'Outraged' USMC commandant to female Marines: 'I ask you to trust me'","","03/14/2017","","","","","","","

  Senegal-Actu.Com","","","","","","","","","His report on ""Marines United"" was published by the Center for Investigative Reporting and prompted swift responses across the military and","edit","66541"
"Becoming vegetarian without giving up meat","","03/14/2017","","","","","","","

  KALW","","","","","","","","","","edit","66546"
"Tillis: No VA benefits for Marine veterans who advocated rape, harassment","","03/14/2017","","","","","","","

  Stars and Stripes","","","","","","","","","His report on “Marines United” was published by the Center for Investigative Reporting and prompted swift responses across the military and","edit","66551"
"Reveal: The Smuggler","","03/14/2017","","","","","","","

  KGNU News","","","","","","","","","in France.

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX. For more, check out our website and","edit","66556"
"Vragments project: Disfellowshipped","","03/14/2017","","","","","","","

  Linda Rath-Wiggins","","","","","","","","",". Photo credit: Trey Bundy We have been working with the Center for Investigative Reporting on a first Fader use case. The outcome is","edit","66561"
"Reed Calls for Marines to Make Changes After Hearing on Explicit-Photo-Sharing Scandal","","03/14/2017","","","","","","","

  Publicnow","","","","","","","","","their consent, and make lewd or threatening comments. The Center for Investigative Reporting has reported that since January 30, more than","edit","66566"
"Polytoxicity: The Wild World of Chemical Exposure","","03/14/2017","","","","","","","

  Mercola.com","","","","","","","","",".

A report from the Center for Public Integrity and The Center for Investigative Reporting revealed that about 1 in 11 public schools in","edit","66571"
"Rule by Thieves: One Week in the Life of the American Kleptocracy","","03/14/2017","","","","","","","

  LewRockwell.com","","","","","","","","","without their knowledge or consent, should be treated. As the Center for Investigative Reporting (CIR) revealed, “One member of the Facebook","edit","66576"
"Free stuff: Journalism & Tech talk","","03/15/2017","","","","","","","

  CNPA","","","","","","","","",".

Discussants include:

Joaquin Alvarado, CEO for the Center for Investigative Reporting in Emeryville
Emily Bell, director of the Tow","edit","66581"
"Top Marine Grilled By Senators Over Nude Photo Scandal","","03/15/2017","","","","","","","

  NewsDog","","","","","","","","","United” that boasted it had 30,000 members.

The Center for Investigative Reporting, which first reported the investigation, found that","edit","66586"
"Coming to the Tipping Point","","03/15/2017","","","","","","","

  Flatland KC","","","","","","","","","when a KCPT editor suggested we join forces with the Center for Investigative Reporting in California, which had launched an effort called","edit","66591"
"Conservative Christians Are Fighting an Alabama Bill That Would Protect Kids At Childcare Centers","","03/15/2017","","","","","","","

  Democratic Underground","","","","","","","","","taxpayer funding to run her day cares with almost no oversight.

https://www.revealnews.org/article/she-runs-disastrous-day-cares-but-her-","edit","66596"
"Seth Freed Wessler","","03/15/2017","","","","","","","

  Nation Institute","","","","","","","","","The Nation, This American Life, ProPublica, Reveal/Center for Investigative Reporting, and Elle magazine. He was previously an enterprise","edit","66601"
"A Report Found That Reports of Sexual Assault Increased at Army and Naval Academies","","03/15/2017","","","","","","","

  Teen Vogue","","","","","","","","","branches of the military. Just this month, the Center for Investigative Reporting published a report that Marines were sharing nude photos","edit","66606"
"Invisible Harm: Toxic School Air Affects 8,000 Public Schools","","03/15/2017","","","","","","","

  Medium","","","","","","","","","project between The Center for Public Integrity and The Center for Investigative Reporting that studied air pollution from roadways impacts","edit","66611"
"DC United - BingNews","","03/15/2017","","","","","","","

  DC United ArmChair Nation","","","","","","","","","His report on ""Marines United"" was published by the Center for Investigative Reporting and prompted swift responses across the military and","edit","66616"
"Audience Awards Film Festival","","03/15/2017","","","","","","","

  First Comics News","","","","","","","","","video producer and reporter for The Pulitzer-prize winning Center for Investigative Reporting, social influencers will talk about how to","edit","66621"
"Come Soros controlla la censura sulle ‘Fake News’","","03/15/2017","","","","","","","

  MARIONESSUNO","","","","","","","","","la Fondazione Rockefeller Family. 6) Reveal, un progetto del Center for Investigative Reporting, finanziato da un gran numero di persone ed","edit","66626"
"Nutella, son desenmascarados sus terribles ingredientes","","03/16/2017","","","","","","","

  Arsenal Terapéutico","","","","","","","","","17, 2011
21 New York Times, April 17, 2014
22 The Center for Investigative Reporting, Read Exposed
23 Huffington Post, May 25, 2011
24","edit","66631"
"WisGOP: Democrats failed to act on evidence that veterans were in danger","","03/16/2017","","","","","","","

  wispolitics.com","","","","","","","","","Tomah VA Hospital

January 2015
January 8th, Center for Investigative Reporting publishes first article documenting the over prescription of","edit","66636"
"Nude Photo Scandal Exposes Marines' Culture of Misogyny","","03/16/2017","","","","","","","

  Newsweek","","","","","","","","",", published in collaboration with the California-based Center for Investigative Reporting, presented the illicit activity of Marines United","edit","66641"
"How PR and corporate communications can use animated gifs","","03/16/2017","","","","","","","

  Public Relations","","","","","","","","","is a moving picture to explain a complicated idea. The Center for Investigative Reporting created this gif to illustrate the consumption of","edit","66646"
"A Secret Marines Facebook Group Shared Nude Photos of Female Service Members","","03/16/2017","","","","","","","

  Tafia World","","","","","","","","","veteran Thomas Brennan. In an article published Saturday by the Center for Investigative Reporting's Reveal News, Brennan noted that since","edit","66651"
"Trump budget targets programs that help people get jobs","","03/16/2017","","","","","","","

  Blog - Reveal","","","","","","","","","be reached at jgollan@revealnews.org. Follow her on Twitter: @jennifergollan. Will Evans can be reached at wevans@revealnews.org. Follow him","edit","66656"
"Fwd: Vindication - now: experts now admit media bias","","03/16/2017","","","","","","","

  Perfect Day Massage","","","","","","","","",": Calexit movement is not being reported fairly. To: rdeleon@revealnews.org There are a lot of articles about how Calexit is a Russian plot/","edit","66661"
"White nationalist (Richard Spencer) gets his money from cotton fields and the government","","03/17/2017","","","","","","","

  Democratic Underground","","","","","","","","","! Great article, very revealing. Economic anxiety, my ass.

https://www.revealnews.org/article/white-nationalist-gets-his-money-from-cotton-","edit","66666"
"The Hate Report: A KKK sign, beer hall Nazis and a Trump adviser","","03/17/2017","","","","","","","

  Blog - Reveal","","","","","","","","","of Louisiana, according to records examined by Reveal from The Center for Investigative Reporting. The farms, controlled by multiple family-","edit","66671"
"Alt-right poster boy Richard Spencer owns 5,200 acres of Louisiana cotton fields","","03/17/2017","","","","","","","

  International Business Times UK","","","","","","","","",", records show.

According to records examined by The Center for Investigative Reporting, Spencer along with his mother and sister are","edit","66676"
"Former US Marine says sharing explicit photos of women is “social validation”","","03/17/2017","","","","","","","

  Stylist.co.uk","","","","","","","","","vets are being shared on a secret Facebook page.

The Center for Investigative Reporting wrote earlier this month that “hundreds” of Marines","edit","66681"
"White Nationalist Richard Spencer Gets His Money From Louisiana Cotton Fieldsand the US Government","","03/17/2017","","","","","","","

  Democratic Underground","","","","","","","","","of Louisiana, according to records examined by Reveal from The Center for Investigative Reporting. The farms, controlled by multiple family-","edit","66686"
"White Nationalist Richard Spencer Gets His Money From Louisiana Cotton Fields—and the US Government","","03/17/2017","","","","","","","

  Mother Jones","","","","","","","","","of Louisiana, according to records examined by Reveal from The Center for Investigative Reporting. The farms, controlled by multiple family-","edit","66691"
"Army, Air Force and Coast Guard investigate nude-photo scandal","","03/17/2017","","","","","","","

  Stars and Stripes","","","","","","","","","were made in a March 4 report by nonprofit news agency The Center for Investigative Reporting and veterans’ news website The War Horse.

The","edit","66696"
"The best business reads of february – the atlantic","","03/17/2017","","","","","","","

  Tour Guide","","","","","","","","","for their safety problems, an investigation by Reveal from The Center for Investigative Reporting has found.

Yuriy, who asks that his last","edit","66701"
"Once secret films of U.S. nuclear bomb testing made public","","03/17/2017","","","","","","","

  Blog - Reveal","","","","","","","","","to scan the remainder of the films.

Reveal from The Center for Investigative Reporting wrote about the troops involved in those tests last","edit","66706"
"Links: ‘Hundreds of Marines investigated for sharing photos of naked colleagues’ (Reveal News)","","03/18/2017","","","","","","","

  stoporgangstalking","","","","","","","","","/www.ncis.navy.mil/ContactUs/Pages/ReportaCrime.aspx https://www.revealnews.org/blog/hundreds-of-marines-investigated-for-sharing-photos-of-","edit","66711"
"US Marine Corps issues new social media guidance following naked photo sharing scandal","","03/18/2017","","","","","","","

  The Verge","","","","","","","","","capacity. The message follows a report from The Center for Investigative Reporting that revealed Marines United, a secret Facebook group","edit","66716"
"Rule By Thieves: One Week in the American Kleptocracy","","03/18/2017","","","","","","","

  Open Source Information","","","","","","","","","without their knowledge or consent, should be treated. As the Center for Investigative Reporting (CIR) revealed, “One member of the Facebook","edit","66721"
"Navy vows crackdown on illicit photos","","03/18/2017","","","","","","","

  Honolulu Star-Advertiser","","","","","","","","","or actions.”

According to Reveal news from The Center for Investigative Reporting, alarm was raised after the nonprofit news organization","edit","66726"
"PROPUBLICA and REVEAL - TWO NEWSROOMS ASSISTING US IN THE BATTLE AGAINST ""ALTERNATIVE FACTS""","","03/17/2017","","","","","","","

  Daily Kos","","","","","","","","","__

REVEAL — https://www.revealnews.org

About Us

The mission of The Center for Investigative Reporting is to engage and empower the public","edit","66731"
"Marine Corps vows to crack down on social media misuse","","03/20/2017","","","","","","","

  NewsGrio","","","","","","","","","the servicewomen as revealed in the report by Reveal of the Center for Investigative Reporting and The War Horse.

The veteran who initially","edit","66736"
"Tomah VA whistleblower: Taking out Tammy Baldwin 'my unfinished business'","","03/20/2017","","","","","","","

  La Crosse Tribune (AP)","","","","","","","","","RUNDIO, Tomah Journal
+1

Honl

DARREN HAUCK, Center for Investigative Reporting

A whistleblower at the embattled Tomah VA Medical Center","edit","66741"
"The civic media crisis and what philanthropy can do","","03/20/2017","","","","","","","

  WAN-IFRA - Blog","","","","","","","","","and independent media. Nonprofit examples include Pro Publica, Center for Investigative Reporting, Center for Public Integrity, and First","edit","66746"
"智能技术之患：机器与人的战争，还是人与人的战争？ | 土逗思","","03/18/2017","","","","","","","

  其它-搜狐","","","","","","","","","h.html

[7] 有关芝加哥教师罢工的详情可见：

https://www.revealnews.org/article/the-strike-over-student-growth-chicago-teachers-protest-reflects-a-national-","edit","66751"
"Mention of Andy Becker's reporting on the border and detention","","03/17/2017","","","","Mention / Citation","","","

  Your Call Radio
  (Radio)
","","Border","","","Border wall, Border corruption","","","","Roque Planas of the HuffPo lauded Andy's work on YourCall","edit","66756"
"Marines update social media policy amid nude-photo sharing scandal","","03/20/2017","","","","","","","

  Stars and Stripes","","","","","","","","","to a March 4 report by the nonprofit news agency The Center for Investigative Reporting and veterans’ news website The War Horse that","edit","66761"
"Reveal: Richard Spencer’s Cotton Farms","","03/20/2017","","","","","","","

  WJCT NEWS","","","","","","","","","his family.

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX.

For more, check out our website","edit","66766"
"Reveal: The Smuggler","","03/20/2017","","","","","","","

  WJCT NEWS","","","","","","","","","in France.

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX.

For more, check out our website","edit","66771"
"The War on Water Is a Very Real Crisis","","03/20/2017","","","","","","","

  Mercola.com","","","","","","","","","of data is not unusual, unfortunately. As Reveal of The Center for Investigative Reporting stated, the database also lists ""0"" as the amount","edit","66776"
"Georgia nonprofit says it unwittingly gave $25,000 to white nationalist Richard Spencer","","03/20/2017","","","","","","","

  NewsDog","","","","","","","","","last decade, according to a recent report from the Center for Investigative Reporting. (“Investigative journalists just discovered that my","edit","66781"
"Richard Spencer Draws Income From Louisiana Cotton Plantations","","03/20/2017","","","","","","","

  The Jewish Daily Forward","","","","","","","","","of his income from cotton plantations in Louisiana, according to the Center for Investigative Reporting.

The Center, based in Emeryville,","edit","66786"
"Georgia nonprofit says it unwittingly gave $25,000 to white nationalist Richard Spencer","","03/21/2017","","","","","","","

  Democratic Underground","","","","","","","","","last decade, according to a recent report from the Center for Investigative Reporting. (Investigative journalists just discovered that my","edit","66796"
"Mystery donor funneled $25,000 to Richard Spencer through group unaware of white nationalist ties","","03/21/2017","","","","","","","

  Raw Story","","","","","","","","","supports himself financially, but a recent report by the Center for Investigative Reporting showed his parents received at least $2 million","edit","66801"
"The most famous leak in history nearly sent Daniel Ellsberg to prison for espionage","","03/21/2017","","","","","","","

  Medium","","","","","","","","",", and a sense that it was wrong,” he told the Center for Investigative Reporting in 2016. “They made people understand that presidents lie","edit","66806"
"The War on Water Is a Very Real Crisis","","03/21/2017","","","","","","","

  Myinforms","","","","","","","","","of data is not unusual, unfortunately. As Reveal of The Center for Investigative Reporting stated, the database also lists ""0"" as the amount","edit","66811"
"Reveal: Richard Spencer’s Cotton Farms","","03/21/2017","","","","","","","

  KGNU News","","","","","","","","","his family.

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX. For more, check out our website","edit","66816"
"Black Farmers and EWG Urge Congress to Increase Farm Subsidy Transparency","","03/22/2017","","","","","","","

  Environmental Working Group","","","","","","","","","Black farmers and other minorities.”

Last week, The Center for Investigative Reporting, relying on EWG farm subsidy data, reported that","edit","66821"
"Importancia de votar y estar unidos","","03/22/2017","","","","","","","

  Puro Futbol","","","","","","","","","centro de información encontró un patrón culpable de discriminación (Center for Investigative Reporting) AKA Reveal News, racial y de género","edit","66826"
"Audience Awards Launches Film Festival with Focus on Innovation and Diversity","","03/23/2017","","","","","","","

  BusByway.com","","","","","","","","","video producer and reporter for The Pulitzer-prize winning Center for Investigative Reporting, social influencers will talk about how to","edit","66831"
"Scripps and The Center for Investigative Reporting to host virtual reality event","","03/23/2017","","","","","","","

  Networking - ITBusinessNet.com","","","","","","","","","","edit","66836"
"Audience Awards Launches Film Festival with Focus on Innovation and Diversity","","03/23/2017","","","","","","","

  Money","","","","","","","","","video producer and reporter for The Pulitzer-prize winning Center for Investigative Reporting, social influencers will talk about how to","edit","66841"
"Report of sexual assault at border heightens concern about immigration agent abuse“We are human beings and we are also children.”","","03/23/2017","","","","","","","

  ThinkProgress","","","","","","","","","of training.

What’s perhaps most troubling is that a 2013 Center for Investigative Reporting report found that during a hiring surge that","edit","66846"
"Global journalism initiative to uncover politicians’ tax returns","","03/24/2017","","","","","","","

  IJNet","","","","","","","","",". The first story was published in December 2012 by the Center for Investigative Reporting in Pakistan, which Cheema founded, and the Center","edit","66851"
"Kara Tabor Wins 2017 Google News Lab Fellowship","","03/23/2017","","","","","","","

  Missouri School of Journalism","","","","","","","","","Eight Students Selected Nationally; Will Serve as an Intern with the Center for Investigative Reporting
By Yue Tang

Columbia, Mo. (March 23","edit","66856"
"Scripps and The Center for Investigative Reporting to host virtual reality event","","03/23/2017","","","","","","","

  捷利深度数据中心","","","","","","","","","studio in Cincinnati from March 29-April 1 in partnership with The Center for Investigative Reporting (CIR). The four-day event will engage","edit","66861"
"Audience Awards Launches Film Festival with Focus on Innovation and Diversity","","03/23/2017","","","","","","","

  Sports - Times Union","","","","","","","","","video producer and reporter for The Pulitzer-prize winning Center for Investigative Reporting, social influencers will talk about how to","edit","66866"
"Hate Report: Fake hate strikes. So does real hate","","03/24/2017","","","","","","","

  Blog - Reveal","","","","","","","","","attorney to charge Kaminski with a hate crime.

Will Carless can be reached at wcarless@revealnews.org. Follow him on Twitter: @willcarless.","edit","66871"
